id,value:
148308,308
485578,578
393415,415
7926,926
307769,769
92022,22
484328,328
425296,296
4784,784
409968,968
484960,960
449837,837
178296,296
335654,654
410801,801
243944,944
287402,402
499937,937
393587,587
363122,122
326071,71
235129,129
323858,858
421303,303
147971,971
136158,158
252155,155
393687,687
306054,54
483727,727
14104,104
1524,524
356123,123
325738,738
230343,343
91542,542
148338,338
179863,863
139659,659
283882,882
89669,669
206961,961
49509,509
326786,786
270617,617
238584,584
125452,452
59074,74
420471,471
85376,376
390733,733
83282,282
90684,684
75973,973
99549,549
348592,592
301087,87
198398,398
466821,821
49272,272
171214,214
114201,201
145846,846
408808,808
480727,727
196539,539
369331,331
411225,225
298561,561
19251,251
429668,668
9069,69
421680,680
156086,86
433755,755
265874,874
431373,373
294251,251
289729,729
462763,763
280407,407
216279,279
322638,638
97659,659
288187,187
354830,830
281216,216
12062,62
463530,530
2855,855
284609,609
382343,343
135490,490
235196,196
119865,865
197014,14
187801,801
451198,198
71061,61
70519,519
302741,741
466859,859
45578,578
16667,667
19746,746
420329,329
18187,187
184505,505
246549,549
313265,265
449710,710
126585,585
259209,209
336117,117
283084,84
276354,354
15597,597
68122,122
471953,953
157796,796
217048,48
275693,693
190209,209
269078,78
354144,144
53012,12
247491,491
152544,544
274327,327
423771,771
83405,405
260452,452
54210,210
146255,255
420355,355
291092,92
207550,550
355544,544
196364,364
186568,568
278612,612
442842,842
271138,138
159716,716
201780,780
196537,537
78079,79
363197,197
254081,81
117509,509
317697,697
178888,888
328142,142
114749,749
268961,961
73747,747
11804,804
157189,189
380948,948
469071,71
188256,256
323042,42
446859,859
38161,161
151212,212
285631,631
176632,632
186530,530
86280,280
68509,509
50250,250
72613,613
156526,526
190705,705
106949,949
282063,63
106770,770
31956,956
399474,474
221146,146
221404,404
355987,987
334922,922
160054,54
271428,428
38772,772
87331,331
228811,811
151145,145
46690,690
102930,930
338131,131
67128,128
113699,699
39120,120
240685,685
403727,727
94475,475
130309,309
430862,862
185567,567
288365,365
284145,145
128964,964
332311,311
423270,270
368772,772
309446,446
356273,273
473498,498
123937,937
80091,91
483258,258
120757,757
171956,956
370637,637
447041,41
419675,675
372203,203
162284,284
102881,881
356972,972
339037,37
328007,7
466097,97
320065,65
337795,795
23855,855
32453,453
432200,200
473226,226
187299,299
329556,556
416234,234
237001,1
193947,947
230735,735
138519,519
246670,670
89065,65
315587,587
319402,402
461983,983
249351,351
191438,438
450330,330
356011,11
38165,165
300402,402
394668,668
431040,40
135359,359
171218,218
9257,257
92075,75
170999,999
126488,488
183767,767
94029,29
385901,901
208638,638
53215,215
227249,249
364261,261
10903,903
323971,971
99695,695
173676,676
433898,898
25331,331
79388,388
352756,756
376849,849
202072,72
427797,797
249344,344
217472,472
453999,999
241684,684
19592,592
316324,324
415119,119
375112,112
406939,939
217061,61
476050,50
70529,529
187952,952
97970,970
60568,568
162294,294
334964,964
142190,190
98073,73
450897,897
393800,800
22337,337
320914,914
57666,666
390153,153
7949,949
54056,56
412207,207
345409,409
20218,218
2598,598
308761,761
52213,213
428082,82
63546,546
391655,655
392965,965
414701,701
349146,146
423812,812
157430,430
298185,185
408280,280
203629,629
337657,657
363633,633
9112,112
126028,28
151808,808
362633,633
326259,259
88473,473
139954,954
339647,647
211614,614
121331,331
229288,288
1768,768
230400,400
204124,124
187600,600
128463,463
125610,610
140089,89
209527,527
309827,827
447033,33
419360,360
247904,904
130132,132
222924,924
356865,865
285779,779
435828,828
172977,977
76772,772
456273,273
488315,315
55035,35
103537,537
123671,671
60694,694
473782,782
489339,339
170026,26
214477,477
497847,847
317418,418
318713,713
135247,247
331827,827
138631,631
315739,739
242355,355
70362,362
87679,679
326745,745
375120,120
151619,619
23276,276
167847,847
239353,353
17582,582
208240,240
451353,353
218051,51
312050,50
36316,316
37656,656
345532,532
405166,166
340936,936
30312,312
19635,635
219553,553
177605,605
240180,180
396521,521
306783,783
120775,775
476700,700
101990,990
367794,794
173462,462
203348,348
457998,998
147455,455
189512,512
416469,469
203869,869
113033,33
378231,231
456105,105
35727,727
247797,797
317591,591
210317,317
191936,936
395400,400
403631,631
230664,664
151751,751
209564,564
164613,613
303922,922
172064,64
182914,914
368632,632
468007,7
218007,7
186402,402
275299,299
274940,940
368402,402
370034,34
470421,421
63733,733
227476,476
178919,919
63012,12
114650,650
244583,583
359389,389
276162,162
276043,43
310590,590
415414,414
4036,36
420814,814
162178,178
402157,157
203147,147
399385,385
288962,962
318617,617
134006,6
68484,484
294981,981
247613,613
419615,615
407184,184
38944,944
462392,392
273264,264
226233,233
392818,818
196839,839
173367,367
5621,621
218486,486
69921,921
129199,199
484122,122
59440,440
311532,532
47020,20
186229,229
209825,825
243527,527
87378,378
332216,216
41647,647
351637,637
92892,892
451853,853
400088,88
360031,31
447549,549
329944,944
194560,560
362428,428
357018,18
217978,978
491658,658
480726,726
489909,909
6896,896
426004,4
458424,424
115207,207
122041,41
65283,283
282559,559
298449,449
172564,564
262825,825
159260,260
183755,755
259519,519
259820,820
222866,866
270587,587
317150,150
299213,213
382258,258
290802,802
21678,678
372560,560
353639,639
444582,582
129171,171
460316,316
460736,736
269659,659
422063,63
102035,35
59240,240
306397,397
150191,191
365001,1
127673,673
176211,211
290456,456
462679,679
8492,492
297399,399
30167,167
312740,740
13827,827
161517,517
216197,197
31234,234
423057,57
49983,983
465870,870
218925,925
326394,394
