id,value:
4157186,186
2742639,639
988735,735
4026754,754
2116424,424
1226561,561
2315705,705
3961486,486
3910547,547
1583596,596
280364,364
4518851,851
556541,541
485578,578
1618640,640
3033510,510
1126790,790
474228,228
1157128,128
1962133,133
3215715,715
246191,191
4473745,745
3503356,356
3773911,911
4258545,545
3585754,754
4414610,610
2528140,140
1310660,660
2096108,108
1583209,209
3503084,84
4299558,558
715735,735
3542359,359
3465530,530
4275375,375
729962,962
421936,936
4742873,873
4991253,253
2041474,474
4723478,478
4026731,731
1238614,614
222922,922
3727864,864
2112650,650
14972,972
2866350,350
92022,22
816896,896
2409022,22
2633887,887
4891762,762
1238361,361
1765361,361
1559452,452
815929,929
1289219,219
3703924,924
1642715,715
4697788,788
4066483,483
2151893,893
1795116,116
3092981,981
2662893,893
4030021,21
1380486,486
1219707,707
2826543,543
3046162,162
3175904,904
994230,230
2094915,915
2785023,23
1794817,817
2496700,700
1355231,231
4669394,394
2274501,501
1165292,292
978946,946
2008904,904
4610709,709
2184191,191
4931050,50
2254639,639
1094319,319
3625296,296
3274834,834
3259419,419
3764962,962
3521600,600
3985117,117
4854105,105
2981982,982
1037709,709
4722863,863
2570365,365
4550368,368
4927795,795
4998099,99
668521,521
4986302,302
1984841,841
4441278,278
4981407,407
2127383,383
1052166,166
4817136,136
855918,918
4814185,185
3976764,764
2437376,376
4992406,406
2231514,514
3959097,97
1707259,259
3402228,228
3877384,384
668274,274
1485041,41
4050540,540
3082523,523
2354941,941
3145730,730
3664309,309
175730,730
3677975,975
2312870,870
4433706,706
4690897,897
778218,218
2524264,264
675140,140
1078667,667
2763436,436
1288547,547
2520510,510
4527320,320
3032749,749
19679,679
4762593,593
1595451,451
2551925,925
4013405,405
2447530,530
4523164,164
2939328,328
875179,179
1719211,211
2751989,989
1596225,225
4482458,458
1867112,112
632944,944
1787022,22
3799512,512
273878,878
493983,983
3964035,35
354557,557
1658525,525
1776515,515
943705,705
417078,78
4424363,363
3072401,401
